FPOI BLOCk,LAT,LONG
SASTHAMCOTTAH,9.04380,76.62425
SASTHAMCOTTAH,9.10112,76.61725
SASTHAMCOTTAH,9.07453,76.60619
VETTIKKAVALA,9.05649,76.73355
VETTIKKAVALA,9.01391,76.82562
VETTIKKAVALA,9.02989,76.78612
VETTIKKAVALA,9.05528,76.69531
VETTIKKAVALA,8.93380,76.81520
VETTIKKAVALA,8.98692,76.83562
ERATTUPETTA,9.68607,76.78127
ERATTUPETTA,9.67382,76.81278
ERATTUPETTA,9.67415,76.79495
ERATTUPETTA,9.69928,76.81770
ERATTUPETTA,9.78197,76.76343
ERATTUPETTA,9.66828,76.77950
ERATTUPETTA,9.74510,76.78337
ERATTUPETTA,9.70032,76.75830
ETTUMANOOR,9.63052,76.50955
ETTUMANOOR,9.66763,76.53280
ETTUMANOOR,9.61972,76.51052
ETTUMANOOR,9.67362,76.55717
ETTUMANOOR,9.59503,76.43052
ETTUMANOOR,9.68020,76.50722
ETTUMANOOR,9.58393,76.49882
KADUTHURUTHY,9.76520,76.49247
KADUTHURUTHY,9.71373,76.47557
KADUTHURUTHY,9.82767,76.49925
KADUTHURUTHY,9.79017,76.52352
KADUTHURUTHY,9.78675,76.45223
KADUTHURUTHY,9.82845,76.45095
KANJIRAPPALLY,9.48108,76.84618
KANJIRAPPALLY,9.55450,76.79018
KANJIRAPPALLY,9.58425,76.88312
KANJIRAPPALLY,9.46810,76.96232
KANJIRAPPALLY,9.48962,76.75312
KANJIRAPPALLY,9.53770,76.88682
KANJIRAPPALLY,9.56982,76.81540
LALAM,9.70040,76.72803
LALAM,9.76497,76.70303
LALAM,9.72403,76.67908
LALAM,9.65737,76.66348
LALAM,9.68353,76.72208
LALAM,9.69255,76.65760
MADAPPALLY,9.48060,76.59700
MADAPPALLY,9.42530,76.56260
MADAPPALLY,9.44488,76.57367
MADAPPALLY,9.51930,76.57050
MADAPPALLY,9.45955,76.55370
PALLOM,9.63262,76.60505
PALLOM,9.49498,76.52767
PALLOM,9.52955,76.53927
PALLOM,9.55733,76.57217
PALLOM,9.59005,76.56720
PAMPADY,9.62675,76.67370
PAMPADY,9.59782,76.64675
PAMPADY,9.58660,76.58352
PAMPADY,9.54995,76.60868
PAMPADY,9.60230,76.68317
PAMPADY,9.56755,76.63937
UZHAVOOR,9.71597,76.55927
UZHAVOOR,9.75495,76.56150
UZHAVOOR,9.74273,76.61148
UZHAVOOR,9.79900,76.66450
UZHAVOOR,9.79190,76.61065
UZHAVOOR,9.82863,76.60705
UZHAVOOR,9.68407,76.60652
VAIKOM,9.72145,76.41622
VAIKOM,9.70740,76.39170
VAIKOM,9.76783,76.41680
VAIKOM,9.68845,76.42012
VAIKOM,9.82618,76.42902
VAZHOOR,9.56405,76.75750
VAZHOOR,9.50070,76.63735
VAZHOOR,9.50792,76.66292
VAZHOOR,9.56643,76.70233
VAZHOOR,9.48962,76.75312
BALUSSERI,11.44623,75.84451
BALUSSERI,11.44628,75.83499
BALUSSERI,11.49668,75.81402
BALUSSERI,11.48506,75.77521
BALUSSERI,11.45019,75.77129
BALUSSERI,11.54002,75.84276
BALUSSERI,11.44335,75.87791
CHELANNUR,11.35676,75.80733
CHELANNUR,11.41843,75.83135
CHELANNUR,11.37069,75.86475
CHELANNUR,11.35170,75.76138
CHELANNUR,11.31314,75.79935
CHELANNUR,11.38404,75.82119
KODUVALLY,11.36287,75.90977
KODUVALLY,11.36570,75.96351
KODUVALLY,11.36128,76.01193
KODUVALLY,11.34795,76.03899
KODUVALLY,11.43207,76.00477
KODUVALLY,11.48001,75.97413
KODUVALLY,11.40956,75.93529
KODUVALLY,11.48615,75.91441
KODUVALLY,11.36045,75.88890
KOZHIKODE,11.22855,75.83228
KOZHIKODE,11.17780,75.86715
KOZHIKODE,11.17698,75.83180
KUNNAMANGALAM,11.31869,75.94004
KUNNAMANGALAM,11.26449,75.89254
KUNNAMANGALAM,11.26052,75.95313
KUNNAMANGALAM,11.32149,75.99329
KUNNAMANGALAM,11.30777,75.88072
KUNNAMANGALAM,11.31859,75.85149
KUNNAMANGALAM,11.31668,75.99790
KUNNAMANGALAM,11.24209,75.88132
KUNNUMMAL,11.67634,75.70155
KUNNUMMAL,11.65584,75.74798
KUNNUMMAL,11.66792,75.75394
KUNNUMMAL,11.67802,75.78130
KUNNUMMAL,11.64157,75.80608
