GP,LAT,LONG
TORU,27.21714,93.66539
BASAR-NALO-I,27.03548,93.39868
BASAR-NALO-II,27.03334,93.38968
JOTE(W),27.0394,93.46921
POMA,27.06209,93.52331
BURAGAON,27.25463,92.67099
DOIMARA,27.0147,92.417
ELEPHANT FLAT,27.09263,92.58902
HUSHIGAON,27.21588,92.61241
JAMIRI POINT,27.1929,92.57331
JAMIRI VILLAGE,27.20356,92.59131
KAMENGBARI,26.96414,92.42258
KHUPPI,27.21024,92.67176
LOWER-BHALUKPONG,27.01458,92.6415
TIPPI,27.03128,92.61194
UPPER-BHALUKPONG,27.01702,92.63709
BARCHIPAM,27.32962,92.24818
BISHUM-PHUDUNG,27.42751,92.31789
CHUG,27.42532,92.20618
DIRANG HQ,27.35986,92.24577
DIRANG VILLAGE,27.34478,92.271
KHASSO,27.41841,92.29854
LISH,27.3779,92.22309
LISH GOMPACHE,27.37942,92.21502
LUBRANG,27.36678,92.17916
NAMTHUNG,27.37773,92.27066
NYUKMADUNG,27.41766,92.13082
PHADAM-SAGAR-KHARUNG,27.33098,92.2661
SANGTI,27.40851,92.28948
SENGE,27.45029,92.11922
YEWANG,27.35607,92.23419
DIBBIN,27.4441,92.51206
DITCHIK,27.40124,92.50683
JERIGAON,27.33821,92.47127
KHOINA,27.34282,92.51246
LOWER DZONG (LONTIN),27.37111,92.53633
MATHOW,27.434,92.46894
RURANG,27.36861,92.48213
SERA,27.26388,92.42841
ANGKALING,27.03676,92.14344
BALEMU-YULUNGRIPAM,26.92216,92.12886
BOHA,27.03304,92.17026
CHINGI,27.09977,92.10604
DENZI,27.06913,92.12528
DOMKHO,27.17631,92.21262
KALATANG,27.10653,92.11598
LIPHAKPU,27.0751,92.10823
LUMDUR,27.06929,92.14165
MORSING,27.17324,92.20462
PAINAKTANG,26.92241,92.12553
RANGTHAJORPAM,27.03518,92.11561
WARRANGPAM,27.11769,92.07519
CHALLANG,27.39764,92.74814
DIBRICK,27.45698,92.52452
JANACHING,27.4309,92.76038
KHAZALANG,27.4129,92.64052
KHELLONG,27.37262,92.5905
