FPOI BLOCk,LAT,LONG
KONIJERLA,17.250862,80.350230
KONIJERLA,17.279058,80.363308
KOTHAGUDEM,17.528105,80.585931
KOTHAGUDEM,17.456863,80.670283
KOTHAGUDEM,17.480800,80.567983
KOTHAGUDEM,17.482137,80.658606
KOTHAGUDEM,17.482999,80.580477
KOTHAGUDEM,17.483657,80.572622
KOTHAGUDEM,17.483757,80.569729
KOTHAGUDEM,17.518599,80.637470
KOTHAGUDEM,17.521320,80.633538
KOTHAGUDEM,17.527695,80.586079
KOTHAGUDEM,17.533297,80.608054
KOTHAGUDEM,17.540789,80.625626
KOTHAGUDEM,17.565025,80.627148
KOTHAGUDEM,17.578093,80.634957
KOTHAGUDEM,17.582404,80.647431
KOTHAGUDEM,17.623335,80.634368
KOTHAGUDEM,17.709188,80.607963
KUSUMANCHI,17.148470,79.940577
KUSUMANCHI,17.156688,79.952000
KUSUMANCHI,17.158563,79.952118
KUSUMANCHI,17.171412,79.971275
KUSUMANCHI,17.174878,79.898415
KUSUMANCHI,17.182284,79.958668
KUSUMANCHI,17.195792,79.939156
KUSUMANCHI,17.197080,79.959333
KUSUMANCHI,17.198230,79.895048
KUSUMANCHI,17.202246,79.979142
KUSUMANCHI,17.206382,79.980656
KUSUMANCHI,17.209739,79.943036
KUSUMANCHI,17.211416,79.926539
KUSUMANCHI,17.216707,79.983647
KUSUMANCHI,17.222848,79.954152
KUSUMANCHI,17.225143,79.962450
KUSUMANCHI,17.228618,79.954376
KUSUMANCHI,17.230169,80.033381
KUSUMANCHI,17.234376,79.996768
KUSUMANCHI,17.238440,79.964225
KUSUMANCHI,17.253135,80.004056
KUSUMANCHI,17.254847,79.942902
KUSUMANCHI,17.255262,79.953847
KUSUMANCHI,17.255991,79.924777
KUSUMANCHI,17.272164,79.918407
MADHIRA,16.976588,80.436563
MADHIRA,16.965221,80.418307
MADHIRA,16.923319,80.365533
MADHIRA,16.920585,80.421557
MADHIRA,16.858871,80.390834
MADHIRA,16.867643,80.392818
MADHIRA,16.876478,80.332920
MADHIRA,16.877131,80.365238
MADHIRA,16.886466,80.401338
MADHIRA,16.887783,80.400930
MADHIRA,16.890857,80.399286
MADHIRA,16.893260,80.356244
MADHIRA,16.893627,80.358645
MADHIRA,16.933703,80.365082
MADHIRA,16.937988,80.364793
MADHIRA,16.938038,80.415928
MADHIRA,16.938760,80.413928
MADHIRA,16.940030,80.430172
MADHIRA,16.940809,80.413675
MADHIRA,16.944504,80.412950
MADHIRA,16.950175,80.373531
MADHIRA,16.954155,80.391760
MADHIRA,16.965576,80.367215
MADHIRA,16.978129,80.362470
MADHIRA,17.000817,80.358117
MADHIRA,17.036782,80.360446
MUDIGONDA,17.013606,80.115170
MUDIGONDA,17.054918,80.121334
MUDIGONDA,17.071238,80.152472
MUDIGONDA,17.094251,80.128356
MUDIGONDA,17.110976,80.149919
MUDIGONDA,17.118672,80.108256
MUDIGONDA,17.121269,80.137470
MUDIGONDA,17.124341,80.133418
MUDIGONDA,17.143821,80.110521
MUDIGONDA,17.148905,80.067519
MUDIGONDA,17.151082,80.068836
MUDIGONDA,17.158259,80.115414
MUDIGONDA,17.168333,80.119354
MUDIGONDA,17.171136,80.120983
MUDIGONDA,17.172864,80.068745
MUDIGONDA,17.173337,80.067451
MUDIGONDA,17.174977,80.037808
MUDIGONDA,17.178332,80.088309
MUDIGONDA,17.181453,80.091055
MULAKALAPALLY,17.441408,80.778619
MULAKALAPALLY,17.490807,80.844490
MULAKALAPALLY,17.502285,80.833227
MULAKALAPALLY,17.503632,80.829418
MULAKALAPALLY,17.546866,80.875268
NELAKONDAPALLY,17.101113,80.048391
NELAKONDAPALLY,17.075713,80.006631
NELAKONDAPALLY,16.996440,80.068208
NELAKONDAPALLY,17.007085,80.074368
NELAKONDAPALLY,17.016033,80.056559
NELAKONDAPALLY,17.044594,80.072350
NELAKONDAPALLY,17.045450,80.071402
NELAKONDAPALLY,17.062917,80.056333
NELAKONDAPALLY,17.075107,80.007054
NELAKONDAPALLY,17.076037,80.086666
NELAKONDAPALLY,17.079996,80.043215
NELAKONDAPALLY,17.087607,80.047525
NELAKONDAPALLY,17.091243,80.020719
NELAKONDAPALLY,17.091596,80.018741
NELAKONDAPALLY,17.099959,80.052658
NELAKONDAPALLY,17.100275,80.047459
NELAKONDAPALLY,17.109976,80.068942
NELAKONDAPALLY,17.121675,80.024294
NELAKONDAPALLY,17.124074,80.028097
NELAKONDAPALLY,17.132441,80.009891
NELAKONDAPALLY,17.134215,80.008022
NELAKONDAPALLY,17.137712,80.003470
