FPOI,LAT,LONG,GPs connected
BALUKPONG JAMIRI,27.19812,92.57523,1
BALUKPONG JAMIRI,27.0131,92.41383,1
BALUKPONG JAMIRI,27.01482,92.63816,1
BALUKPONG JAMIRI,27.02864,92.6112,1
BALUKPONG JAMIRI,27.01683,92.63675,2
DIRANG,27.33026,92.26484,1
DIRANG,27.41911,92.29915,1
DIRANG,27.39067,92.20235,1
DIRANG,27.35901,92.24564,1
DIRANG,27.34419,92.2707,1
DIRANG,27.40912,92.28835,1
DIRANG,27.38745,92.20732,1
DIRANG,27.38803,92.20679,1
DIRANG,27.39367,92.17877,1
DIRANG,27.35454,92.24883,1
DIRANG,27.42009,92.12402,1
DIRANG,27.37731,92.26974,1
DIRANG,27.45017,92.11724,1
DIRANG,27.36023,92.24005,2
JERIGAON,27.40132,92.50718,1
JERIGAON,27.33933,92.4714,1
JERIGAON,27.3557,92.4882,1
JERIGAON,27.37252,92.53378,1
JERIGAON,27.44363,92.51192,1
JERIGAON,27.26364,92.42317,3
KALAKTANG-BALEMU,27.03657,92.14336,1
KALAKTANG-BALEMU,26.92246,92.12534,1
KALAKTANG-BALEMU,27.04603,92.13786,1
KALAKTANG-BALEMU,27.10568,92.11581,1
KALAKTANG-BALEMU,27.07866,92.11795,1
KALAKTANG-BALEMU,27.17395,92.21324,1
KALAKTANG-BALEMU,27.10669,92.11654,1
KALAKTANG-BALEMU,27.07621,92.12299,1
KALAKTANG-BALEMU,26.91464,92.12472,1
KALAKTANG-BALEMU,27.03592,92.12808,1
KALAKTANG-BALEMU,27.07556,92.1084,3
NAFRA,27.34253,92.74088,1
NAFRA,27.40813,92.53531,1
NAFRA,27.39753,92.74825,1
NAFRA,27.37186,92.59061,1
NAFRA,27.3704,92.54492,1
NAFRA,27.40583,92.53571,1
NAFRA,27.37204,92.54471,4
RUPA,27.20833,92.40429,1
RUPA,27.18817,92.33092,1
RUPA,27.19649,92.39803,1
RUPA,27.2186,92.43096,1
RUPA,27.1884,92.36291,1
RUPA,27.21068,92.40542,1
RUPA,27.20611,92.40035,1
RUPA,26.91538,92.12671,1
RUPA,27.1286,92.26008,1
RUPA,27.18892,92.39747,1
SINGCHUNG,27.30949,92.59736,1
SINGCHUNG,27.21935,92.49418,1
SINGCHUNG,27.3244,92.43789,1
SINGCHUNG,27.22425,92.49255,1
SINGCHUNG,27.20594,92.49245,1
SINGCHUNG,27.24393,92.52055,1
SINGCHUNG,27.20783,92.55369,1
SINGCHUNG,27.19681,92.47542,1
SINGCHUNG,27.19676,92.47538,1
SINGCHUNG,27.201,92.47474,1
SINGCHUNG,27.20525,92.49357,1
SINGCHUNG,27.20744,92.47011,1
SINGCHUNG,27.21122,92.4676,1
SINGCHUNG,27.19056,92.47288,1
SINGCHUNG,27.24406,92.41625,1
THEMBANG,27.31249,92.37076,1
THEMBANG,27.35454,92.24883,1
THEMBANG,27.34241,92.2736,1
THEMBANG,27.33803,92.32995,1
THEMBANG,27.34211,92.38587,1
THEMBANG,27.31305,92.39432,1
THEMBANG,27.34239,92.35221,2
THRIZINO,27.34195,92.7403,1
THRIZINO,27.33809,92.76112,1
THRIZINO,27.29336,92.7769,1
THRIZINO,27.31443,92.76785,1
THRIZINO,27.33894,92.74003,3
ALONG EAST LOWER,28.21637,94.83522,1
ALONG EAST LOWER,28.18038,94.81023,1
ALONG EAST LOWER,28.21745,94.85904,1
ALONG EAST LOWER,28.21959,94.85655,1
ALONG EAST LOWER,28.22005,94.85512,1
ALONG EAST LOWER,28.14973,94.8064,1
ALONG EAST LOWER,28.17136,94.81089,1
ALONG EAST UPPER,28.0587,94.82479,1
ALONG EAST UPPER,28.15265,94.80485,1
ALONG EAST UPPER,28.12281,94.83533,1
ALONG EAST UPPER,28.05235,94.72423,1
ALONG EAST UPPER,28.11603,94.83997,11
ALONG WEST PUBU-YOMBU,28.19695,94.71602,1
ALONG WEST PUBU-YOMBU,28.12935,94.78918,1
ALONG WEST PUBU-YOMBU,28.19238,94.74118,1
ALONG WEST PUBU-YOMBU,28.18948,94.76675,1
ALONG WEST PUBU-YOMBU,28.19252,94.73973,1
ALONG WEST PUBU-YOMBU,28.1771,94.72645,1
ALONG WEST PUBU-YOMBU,28.19285,94.73873,1
ALONG WEST PUBU-YOMBU,28.19045,94.74482,1
ALONG WEST PUBU-YOMBU,28.15923,94.79002,1
ALONG WEST PUBU-YOMBU,28.19557,94.70708,1
ALONG WEST PUSHI,28.063,94.74864,1
ALONG WEST PUSHI,28.06135,94.74638,1
ALONG WEST PUSHI,28.08639,94.78792,1
ALONG WEST PUSHI,28.077,94.75983,1
ALONG WEST PUSHI,28.07856,94.75647,1
ALONG WEST PUSHI,28.07708,94.75997,1
ALONG WEST PUSHI,28.09281,94.74753,1
ALONG WEST PUSHI,28.09361,94.74475,1
ALONG WEST PUSHI,28.08381,94.77308,3
ALONG WEST UBU,28.15723,94.68027,1
ALONG WEST UBU,28.08372,94.6844,1
ALONG WEST UBU,28.05041,94.67647,1
ALONG WEST UBU,28.13304,94.66195,1
ALONG WEST UBU,28.13372,94.65675,1
ALONG WEST UBU,28.19252,94.73973,1
ALONG WEST UBU,28.15455,94.71894,2
BASAR,28.03079,94.67914,1
BASAR,28.03115,94.67905,1
BASAR,27.96151,94.71795,1
BASAR,27.96755,94.68483,1
BASAR,27.99401,94.68504,1
BASAR,27.97339,94.68584,1
BASAR,27.97034,94.67564,1
BASAR,28.02461,94.68044,1
BASAR,27.92903,94.70995,1
BASAR,27.98613,94.79972,1
BASAR,27.98452,94.69501,9
DARAK KAMBA,28.2178,94.61504,1
DARAK KAMBA,28.33305,94.6746,1
DARAK KAMBA,28.26779,94.6747,1
DARAK KAMBA,28.27013,94.67623,1
DARAK KAMBA,28.21773,94.64941,1
DARAK KAMBA,28.25984,94.67583,1
DARAK KAMBA,28.23698,94.66589,1
DARAK KAMBA,28.21919,94.61583,1
DARAK KAMBA,28.28075,94.668,2
DARING,27.89136,94.7623,1
DARING,27.88501,94.77305,1
DARING,27.86364,94.80305,1
DARING,27.87349,94.82104,1
DARING,27.90531,94.74354,1
DARING,27.90172,94.74908,1
DARING,27.84627,94.77955,2
GENSI,27.8375,94.63331,1
GENSI,27.83219,94.6799,1
GENSI,27.81654,94.71252,1
GENSI,27.84334,94.62417,1
GENSI,27.84177,94.6261,1
GENSI,27.79483,94.49481,1
GENSI,27.79211,94.47682,1
GENSI,27.75987,94.41923,4
JOMLO MOBUK,28.22922,94.868,1
JOMLO MOBUK,28.24344,94.91299,1
JOMLO MOBUK,28.21275,94.82631,1
JOMLO MOBUK,28.20707,94.80639,1
JOMLO MOBUK,28.24307,94.83417,1
JOMLO MOBUK,28.22887,94.86636,1
JOMLO MOBUK,28.20736,94.8121,1
JOMLO MOBUK,28.20849,94.79575,1
JOMLO MOBUK,28.21401,94.82752,1
JOMLO MOBUK,28.20652,94.81154,2
KAYING,28.31754,94.67547,1
KAYING,28.42176,94.67832,1
KAYING,28.35291,94.68049,1
KAYING,28.35289,94.67973,1
KAYING,28.39882,94.69115,1
KAYING,28.40077,94.68598,1
KAYING,28.45777,94.68328,2
LIKABALI-KANGKU,27.65232,94.68592,1
LIKABALI-KANGKU,27.55516,94.50141,1
LIKABALI-KANGKU,27.70161,94.84516,1
LIKABALI-KANGKU,27.70541,94.84352,1
LIKABALI-KANGKU,27.65834,94.70828,1
LIKABALI-KANGKU,27.67809,94.79065,1
LIKABALI-KANGKU,27.65694,94.70445,1
LIKABALI-KANGKU,27.66004,94.69647,1
LIKABALI-KANGKU,27.66833,94.74017,1
LIKABALI-KANGKU,27.59046,94.55184,3
LIROMOBA-YOMCHA,28.0807,94.48919,1
LIROMOBA-YOMCHA,28.10669,94.57595,1
LIROMOBA-YOMCHA,28.07227,94.49614,1
LIROMOBA-YOMCHA,28.13144,94.57015,1
LIROMOBA-YOMCHA,28.07226,94.49568,1
LIROMOBA-YOMCHA,28.0735,94.49735,1
LIROMOBA-YOMCHA,28.0728,94.49779,1
LIROMOBA-YOMCHA,28.13418,94.60841,3
MANIGONG-PIDI,28.77839,94.28017,1
MANIGONG-PIDI,28.77615,94.27984,1
MANIGONG-PIDI,28.73915,94.3003,1
MANIGONG-PIDI,28.6589,94.33963,1
MANIGONG-PIDI,28.60451,94.39916,1
MANIGONG-PIDI,28.78285,94.27976,1
MANIGONG-PIDI,28.75616,94.28696,1
MANIGONG-PIDI,28.81218,94.26071,1
MANIGONG-PIDI,28.80244,94.2705,1
MANIGONG-PIDI,28.80289,94.27087,1
MANIGONG-PIDI,28.72317,94.30316,2
MECHUKA-TATO,28.5968,94.14302,1
MECHUKA-TATO,28.61424,94.11621,1
MECHUKA-TATO,28.5785,94.1571,1
MECHUKA-TATO,28.59989,94.13448,1
MECHUKA-TATO,28.53154,94.29196,1
MECHUKA-TATO,28.50895,94.45145,1
MECHUKA-TATO,28.59842,94.13765,1
MECHUKA-TATO,28.59907,94.1392,1
MECHUKA-TATO,28.54631,94.2321,1
MECHUKA-TATO,28.60124,94.14773,1
MECHUKA-TATO,28.60371,94.10734,1
MECHUKA-TATO,28.51561,94.4149,1
MECHUKA-TATO,28.51156,94.40606,1
MECHUKA-TATO,28.53029,94.37543,1
MECHUKA-TATO,28.53372,94.37573,1
MECHUKA-TATO,28.52996,94.37408,1
MECHUKA-TATO,28.61407,94.07371,1
MECHUKA-TATO,28.51223,94.4766,3
PAYUM,28.58503,94.66301,1
PAYUM,28.64595,94.65165,1
PAYUM,28.5056,94.65374,1
PAYUM,28.57738,94.64656,1
PAYUM,28.53843,94.60567,2
RUMGONG,28.31617,94.80268,1
RUMGONG,28.28203,94.84285,1
RUMGONG,28.31032,94.88777,1
RUMGONG,28.30995,94.8895,1
RUMGONG,28.3173,94.81513,1
RUMGONG,28.31997,94.8446,4
TIRBIN,27.99261,94.53076,1
TIRBIN,28.02567,94.54018,1
TIRBIN,28.02583,94.58928,1
TIRBIN,28.026,94.60817,1
TIRBIN,28.02682,94.5678,1
TIRBIN,28.01992,94.5248,1
TIRBIN,28.02617,94.56982,1
TIRBIN,28.04057,94.57266,1
TIRBIN,28.02219,94.57653,1
TIRBIN,28.03691,94.63231,1
TIRBIN,28.00189,94.52949,1
TIRBIN,28.04709,94.57748,3
,,,802/821
