GP_NAME,LAT,LONG
TURAKAGUDEM,17.23844,79.96423
ALLINAGARAM GP,16.94169,80.31652
ATUKURU,16.94983,80.37327
CHILUKURU,16.83615,80.38498
DENDUKURU,16.88778,80.40093
DESINENIPALEM,16.87888,80.33634
DIDUGUPADU,16.93799,80.36479
ILLURU,16.86781,80.37185
JALIMUDI GP,17.05543,80.38398
KHAJIPURAM,16.95456,80.38618
KHAMMAMPADU,16.86764,80.39282
MAHADEVAPURAM,16.87713,80.36524
MALLARAM,17.03678,80.36045
MATOOR,16.94616,80.41306
MATOORPETA,16.93848,80.41282
MUNAGALA,16.96545,80.36752
NAGAVARAPPADU,16.94003,80.43017
NAKKALAGARUBU,16.94738,80.35385
NIDANAPURAM,16.92045,80.42014
RAYAPATNAM,16.8928,80.35367
SIDDINENIGUDEM,16.93345,80.45335
SIRIPURAM,16.99906,80.35756
TONDALA GOPAVARAM,16.85337,80.4195
VANGAVEEDU,16.97082,80.34399
AMMAPETA,17.10097,80.14343
BANAPURAM,17.05935,80.1231
CHIRUMARRI,17.14382,80.11052
GANDHASIRI,17.07324,80.1492
GOKINEPALLI,17.14891,80.06752
KAMALAPURAM,17.08741,80.12637
KATTAKOOR,17.17498,80.03781
LAKSHMIPURAM,17.17382,80.12154
MADHAPURAM,17.18263,80.02049
MALLANNAPALEM,17.11739,80.11685
MALLARAM,17.00751,80.14119
MEDEPALLI,17.17286,80.06875
MUDIGONDA,17.17902,80.09488
MUTHARAM,17.12127,80.13747
PAMMI,17.11294,80.10632
PANDREGUPALLI,17.17183,80.15504
PEDAMANDAVA,17.02248,80.15655
SUVARNAPURAM,17.16162,80.10935
VALLABHI,17.01108,80.1136
VALLAPURAM,17.10757,80.15361
VENKATAPURAM,17.17833,80.08831
YADAVALLI,17.19768,80.05449
CHAPARALAPALLI,17.4249,80.76453
JAGANNADHAPURAM,17.43631,80.86511
MULAKALAPALLI,17.50711,80.83425
POGALLAPALLI,17.54687,80.87527
PUSUGUDEM,17.54425,80.75827
THIMMAMPETA,17.57981,80.90135
AMMUGUDEM,17.14056,80.01255
ANASAGARAM,17.10545,80.07987
APPALA NARSIMHAPURAM,16.99003,80.08464
AREGUDEM,17.14373,80.03083
BAIRAVUNIPALLI,17.06629,80.07045
BODULABANDA,17.09124,80.02072
BUDDHARAM,17.01603,80.05656
CHENNARAM,17.12111,79.99318
CHERUVU MADHARAM,17.04459,80.07235
GUVVALAGUDEM,17.141,80.06457
KATTU KACHARAM,16.98264,80.06389
KONAIGUDEM,17.12407,80.0281
KORATLAGUDEM,17.12519,80.01939
KOTHAKOTHURU,17.08761,80.04753
MANDRAJUPALLI,17.09984,80.00973
MANGAPURAM THANDA,17.04909,80.09615
MOTAPURAM,17.15952,79.98245
MUJJUGUDEM,17.12038,80.0741
NACHEPALLI,17.07604,80.08667
NELAKONDAPALLY,17.09996,80.05266
PAINAMPALLI,17.05935,80.03135
RAJESWARAPURAM,17.14334,79.99991
RAMACHANDRAPURAM,17.07511,80.00705
RAVIGUDEM,17.01227,80.08258
SANKARAGIRI THANDA,17.16409,80.011
SURDEPALLI,17.09163,79.99396
DANTHELABORU,17.58616,80.83959
JAGANNADHAPURAM,17.60573,80.75115
NAGARAM,17.60363,80.78946
PANDURANGAPURAM,17.64449,80.72222
PAYAKARI YANAMBYLU,17.64218,80.67737
SOMULAGUDEM,17.62537,80.74998
SURARAM,17.63346,80.71743
THOGUDEM,17.58745,80.77172
VULVANOOR,17.77776,80.67562
YANAMBAILU,17.68181,80.66965
BAYYANNAGUDEM,17.19451,80.65673
BHAVANNAPALEM,17.28928,80.70326
BRAHMALLA KUNTA,17.24178,80.6047
CHINTAGUDEM,17.13461,80.61726
GANESHPADU,17.11047,80.65927
GANGADEVIPADU,17.22705,80.63573
GOKAVARAM,17.22046,80.59345
GOWRARAM,17.25563,80.67934
KONDRUPADU,17.15405,80.68926
KOTHA KARAIGUDEM,17.16258,80.65269
KUPPENAKUNTLA,17.16385,80.6273
LANKAPALLI,17.20722,80.73538
LINGAGUDEM,17.25766,80.66797
MANDALAPADU,17.21326,80.70568
PATHA KARAIGUDEM,17.15526,80.67777
PENUBALLI,17.21603,80.6646
RAMACHANDRARAO BANJAR,17.21195,80.67687
TEKULAPALLY,17.2021,80.62172
TELAGARAM,0,0
THALLAPENTA,17.23912,80.62038
THUMMALAPALLY,17.18743,80.64824
YEDLA BANJARA,17.23219,80.67945
YERUGHATLA,17.23641,80.73334
ANANTHARAM,18.04417,80.49262
BATTUPALLI,18.02255,80.58498
BAYYARAM,18.05099,80.73809
DUGINEPALLI,18.1353,80.64298
ELCHIREDDIPALLY,18.05025,80.72158
JANAMPETA,18.10069,80.6911
KARAKAGUDEM,18.03584,80.57816
MALLARAM,18.07054,80.69278
PADMA PURAM,18.04246,80.51376
PINAPAKA,18.02431,80.68927
POTLAPALLI,18.0387,80.68456
REGALLA,17.96437,80.5902
SAMATH MOTHE,18.06475,80.47124
SAMATHBATTUPALLI,18.03156,80.57614
SINGIREDDIPALLI,18.0804,80.71634
UPPAKA,18.02636,80.70752
VENKATRAOPETA,18.07054,80.71945
BETHUPALLI,17.19702,80.88556
BUGGAPADU,17.27593,80.86331
CHERUKUPALLI,17.2615,80.7755
GANGARAM,17.21143,80.89414
KAKARLAPALLI,17.23087,80.84545
KISTAPURAM,17.15773,80.86723
KISTARAM,17.21352,80.77797
NARAYANAPURAM,17.17735,80.86522
PAKALAGUDEM,17.17795,80.89334
RAMANAGARAM,17.22598,80.8826
REJERLA,17.16467,80.8064
RUDRAKSHAPALLI,17.26586,80.84735
SADASIVUNIPALEM,17.1562,80.83547
SIDDARAM,17.17679,80.83641
THUMBURU,17.13536,80.85731
YATALAKUNTA,17.32606,80.78356
BAJUMALLAIGUDEM,17.55037,80.30715
BHAGYA NAGAR THANDA,17.46725,80.39757
CHEEMALAPADU,17.46965,80.39975
DUBBA THANDA,17.47186,80.22686
GATE KAREPALLI,17.48209,80.23341
GIDDAVARIGUDEM,17.48183,80.28267
KAMALAPURAM,17.45846,80.21379
KOMATLAGUDEM,17.4908,80.31192
MADHARAM,17.53133,80.23246
MANIKYARAM,17.48059,80.34183
PERUPALLI,17.53734,80.26062
POLAMPALLY,17.56193,80.30109
RELAKAYALAPALLI,17.49188,80.41808
SEETHARAMPURAM,17.52467,80.31774
SINGARENI,17.50908,80.27023
TEKULAGUDEM,17.54704,80.35261
THODITHALA GUDEM,17.55874,80.35222
USIRIKAYALAPALLI,17.54818,80.32096
VISWANADHAPALLI,17.47332,80.2612
BETHAMPUDI,17.56432,80.44921
BODDU THANDA,17.59911,80.45824
BODU,17.67693,80.44057
GANGARAM,17.66058,80.53947
GOLLAPALLE,17.57082,80.57151
KOPPURAI,17.6855,80.45796
KOYAGUDEM,17.58574,80.50484
PEGALLAPADU,17.53784,80.4974
SAMBUNIGUDEM,17.5861,80.58295
SULANAGAR,17.56279,80.51442
TEKULAPALLI,17.55941,80.47727
THADIKALAPUDI,17.51973,80.44601
ANNARGUDEM,17.26041,80.43544
BASAVAPURAM,17.09885,80.4446
BILLUPADU,17.23693,80.4596
GOLLAGUDEM,17.19601,80.43753
GOPALAPETA,17.28179,80.45124
KALAKODIMA,17.11679,80.44989
KESAVAPURAM,17.16196,80.42687
KODAVATIMETTA,17.20276,80.39988
KOTHA VENKATAGIRI,17.25037,80.46632
KURNAVALLI,17.12543,80.43169
LAXMIPURAM,17.15918,80.47217
MALLARAM,17.22479,80.41614
MITTAPALLI,17.1841,80.46341
MUDDUNURU,17.14036,80.44717
NUTHANKAL,17.20139,80.48174
PINAPAKA,17.17697,80.41272
RAMANUJAVARAM,17.16994,80.45798
RANGAM BANJAR,17.19948,80.51043
REJERLA,17.21622,80.46133
TELAGARAM,17.21167,80.45828
THALLADA,17.21814,80.42322
VENGANNAPETA,17.22938,80.48772
BACHODU,17.30246,79.90053
BACHODU THANDA,17.30351,79.89002
BEEROLU,17.30453,79.94193
CHANDRU THANDA,17.36162,79.93758
DAMMAIGUDEM,17.32471,79.9713
EDULLACHERUVU,17.33396,80.02104
ERRAGADDA,17.27983,80.01812
GOL THANDA,17.34321,79.95917
HASNABAD,17.32755,79.90289
HYDERSAIPET,17.38831,79.97981
ISLAVATH THANDA,17.36291,79.90285
JALLEPALLI,17.37227,79.96718
JUPEDA,17.3,79.8622
KAKARVAI,17.31119,79.82833
KOKKIRENI,17.29546,80.03198
MEDIDAPALLI,17.33051,79.93058
MOHAMMADAPURAM,17.35992,79.91276
PAINAMPALLI,17.29024,79.85673
PATHARLAPADU,17.35419,79.96414
PINDIPROLU,17.32389,80.00421
RAGHUNADHAPALEM,17.32403,79.85767
RAJARAM,17.28068,79.86952
SOLIPURAM,17.28218,79.82894
SUBLAID,17.34057,79.90088
THALLA CHERUVU,17.28858,79.973
THETTALAPADU,17.30514,79.99707
THIRUMALAYAPALEM,17.31137,80.03567
TIPPAREDDIGUDEM,17.36607,79.97937
ADSARLAPADU,17.12551,80.70694
AMMAPALEM,17.0769,80.77369
BEERAPALLI,17.06099,80.85508
BHARANIPADU,17.10975,80.69962
BHEEMAVARAM,17.13154,80.81779
DUDDIPUDI,17.1051,80.86576
KALLURUGUDEM,17.10919,80.73752
KANDUKURU,17.07849,80.84137
KUNCHAPARTHI,17.08974,80.71971
