GP_NAME,LAT,LONG
CHAPPARAPADAVU,12.12721,75.41499
NADUVIL,12.12084,75.48214
UDAYAGIRI,12.22895,75.48139
KADANNAPALLY -PANAPUZHA,12.63440,75.17198
PERALASSERI,11.83257,75.48335
DHARMADAM,11.77501,75.46970
ERANHOLI,11.77476,75.51271
PINARAYI,11.80856,75.49391
NEW MAHI,11.71054,75.53935
VENGAD,11.86451,75.50964
AJANOOR,12.33999,75.08928
MADIKKAI,12.30004,75.13660
PALLIKKARA,12.38856,75.04311
PULLURPERIYA,12.38257,75.10085
UDMA,12.42752,75.02298
BEDADUKA,12.46120,75.16628
BELLOOR,12.59146,75.17449
DELAMPADY,12.55414,75.24584
KARADKA,12.54909,75.16524
KUMBADAJE,12.57110,75.11090
KUTIKKOL,12.47746,75.21173
MULIYAR,12.50903,75.09555
BADIYADKA,12.58551,75.07417
CHEMNAD,12.48089,75.03083
CHENGALA,12.50963,75.05257
KUMBALA,12.59497,74.94402
MADHUR,12.54035,75.00030
MOGRAL PUTHUR,12.53960,74.96380
ENMAKAJE,12.64640,75.10790
MANGALPADY,12.65796,74.91897
MANJEWSWARAM,12.71563,74.88926
MEENJA,12.71332,74.95332
PAIVALIKE,12.68688,74.98306
PUTHIGE,12.62141,75.00832
VORKADY,12.75389,74.94730
CHERUVATHUR,12.21590,75.16090
KAYYUR CHEEMENI,12.23690,75.23030
PADNE,12.16990,75.15030
PILICODE,12.19110,75.16740
THRIKKARIPUR,12.14510,75.17750
VALIYAPARAMBA,12.14810,75.14290
BALAL,12.38530,75.28240
EAST ELERI,12.32330,75.35900
KALLAR,12.42920,75.26610
KINANOOR KARINDALAM,12.28750,75.24830
KODOMBELLUR,12.39070,75.19570
PANATHADY,12.45560,75.36580
WEST ELERI,12.32150,75.28770
ALAYAMON,8.89211,76.95203
ANCHAL,8.92870,76.91418
ARIENCAVU,8.97082,77.09732
EDAMULAKKAL,8.92089,76.89497
KULATHUPUZHA,8.90721,77.05451
THENMALA,8.96609,77.06958
YEROOR,8.93632,76.94612
CHADAYAMANGALAM,8.87136,76.86932
CHITHARA,8.81423,76.97411
ELAMADU,8.90029,76.83197
ITTIVA,8.86761,76.90739
KADAKKAL,8.82649,76.91763
KUMMIL,8.78942,76.94026
NILAMEL,8.82276,76.88322
VELINALLUR,8.87446,76.77614
CHAVARA,8.98002,76.53772
NEENDAKARA,8.95559,76.53418
PANMANA,9.01132,76.54170
THEKKUMBHAGAM,8.96045,76.56363
THEVALAKARA,9.01365,76.57449
ALAPPAD,9.06984,76.49643
KULASEKHARAPURAM,9.09161,76.51593
KIZHAKKEKALLADA,9.01742,76.65293
KUNDARA,8.96069,76.67259
MUNDROTHURUTHU,9.00246,76.63038
PANAYAM,8.93759,76.61739
PERAYAM,8.98266,76.67132
PERINAD,8.94860,76.63746
THRIKKADAVUR,8.92842,76.60139
THRIKKARUVA,8.95100,76.60023
CHATHANNOOR,8.86315,76.71511
KALLUVATHUKAL,8.83194,76.74622
CHIRAKKARA,8.82509,76.71498
POOTHAKKULAM,8.81731,76.69905
ADICHANALLOOR,8.87147,76.69942
NEDUMPANA,8.90697,76.69102
EZHUKONE,8.98034,76.72018
KAREEPRA,8.95180,76.72026
KOTTARAKARA,9.00515,76.77932
NEDUVATHUR,8.99703,76.75260
POOYAPALLY,8.90851,76.76221
VELIYAM,8.94079,76.77265
ELAMPALLUR,8.95581,76.67146
KOTTAMKARA,8.90638,76.63660
MAYYANAD,8.84064,76.64693
THRIKKOVILVATTOM,8.89888,76.66656
CLAPPANA,9.11118,76.50912
OCHIRA,9.13219,76.51289
THAZHAVA,9.08905,76.56113
THODIYOOR,9.06729,76.55951
KARAVALOOR,8.98626,76.90960
PATHANAPURAM,9.08819,76.85577
PATTAZHI,9.07686,76.79654
PATTAZHI VADAKKEKARA,9.09386,76.79862
PIRAVANTHUR,9.05556,76.91597
THALAVUR,9.04057,76.82497
VILAKUDY,9.02844,76.85571
KUNNATHUR,9.06075,76.67655
MYNAGAPPALLY,9.04193,76.58953
PORUVAZHY,9.07494,76.66066
SASTHAMCOTTA,9.04366,76.62653
SOORANAD NORTH,9.10275,76.61973
SOORANAD SOUTH,9.07476,76.60453
WEST KALLADA,9.02181,76.62968
KULAKKADA,9.05583,76.73150
MELILA,9.01305,76.82478
MYLAM,9.02993,76.78616
PAVITHRESWARAM,9.05426,76.69821
UMMANNUR,8.93354,76.81649
VETTIKKAVALA,8.99392,76.83058
ERATTUPETTA,9.68760,76.77983
THIDANADU,9.66118,76.77890
MOONILAVU,9.74787,76.78493
POONJAR THEKKEKARA,9.67360,76.81360
POONJAR,9.67340,76.79558
TEEKOY,9.58972,76.52047
THALANAD,9.72322,76.80955
THALAPPALAM,9.70693,76.76142
MELUKAVU,9.78545,76.76180
ARPOOKARA,9.64288,76.50882
ATHIRAMPUZHA,9.66915,76.53818
AYMANAM,9.61243,76.49832
ETTUMANOOR,9.67048,76.55562
NEENDOOR,9.68683,76.50502
KADUTHURUTHY,9.76555,76.49298
KALLARA,9.70842,76.47678
MULAKULAM,9.82790,76.49830
NJEEZHOOR,9.78990,76.52325
THALAYOLAPARAMBU,9.78535,76.44672
VELLOOR,9.83002,76.45195
MANJOOR P,9.73772,76.50716
ERUMELI,9.48118,76.84557
KANJIRAPPALLY,9.55353,76.78997
KOOTTICKAL,9.58450,76.88683
KORUTHODE,9.46710,76.96315
MANIMALA,9.48378,76.76747
