S.no,FPOI ,LAT,LONG,GPs connected,
183,KUTHUPARAMBA,11.84767,75.63326,1,
184,KUTHUPARAMBA,11.80863,75.55048,1,
185,KUTHUPARAMBA,11.75113,75.62328,1,
186,KUTHUPARAMBA,11.87148,75.57281,1,
187,KUTHUPARAMBA,11.79869,75.56286,2,
188,PANOOR,11.72678,75.55531,1,
189,PANOOR,11.78742,75.53121,1,
190,PANOOR,11.69536,75.57821,1,
191,PANOOR,11.78614,75.56903,1,
192,PANOOR,11.75982,75.57714,1,
193,PANOOR,11.72743,75.59334,2,
194,PAYYANNUR,12.27126,75.36067,1,
195,PAYYANNUR,12.13677,75.30199,1,
196,PAYYANNUR,12.17706,75.24710,1,
197,PAYYANNUR,12.17597,75.19212,1,
198,PAYYANNUR,12.07945,75.24112,1,
199,PAYYANNUR,12.06444,75.18981,2,
200,PERAVOOR,11.90721,75.77155,1,
201,PERAVOOR,11.90641,75.78509,1,
202,PERAVOOR,11.85418,75.69870,1,
203,PERAVOOR,11.89447,75.80939,1,
204,PERAVOOR,11.89361,75.74134,1,
205,PERAVOOR,11.89363,75.62821,1,
206,PERAVOOR,11.93775,75.70678,1,
207,TALIPARAMBA,12.04228,75.48959,1,
208,TALIPARAMBA,12.03994,75.41099,1,
209,TALIPARAMBA,12.06974,75.33162,1,
210,TALIPARAMBA,12.02772,75.32607,1,
211,TALIPARAMBA,12.19929,75.46154,1,
212,TALIPARAMBA,12.12814,75.41213,1,
213,TALIPARAMBA,12.12146,75.48341,1,
214,TALIPARAMBA,12.22883,75.48066,3,
215,THALASSERY,11.77439,75.51150,1,
216,THALASSERY,11.81365,75.43829,1,
217,THALASSERY,11.80933,75.49231,1,
218,THALASSERY,11.88625,75.48581,1,
219,THALASSERY,11.71161,75.53487,1,
220,THALASSERY,11.86462,75.50903,1,
221,KANHANGAD,12.34343,75.08951,1,
222,KANHANGAD,12.31800,75.14765,1,
223,KANHANGAD,12.37943,75.10025,1,
224,KANHANGAD,12.43008,75.02312,2,
225,KARADKA,12.46122,75.16453,1,
226,KARADKA,12.59124,75.17479,1,
227,KARADKA,12.54989,75.25063,1,
228,KARADKA,12.54629,75.16778,1,
229,KARADKA,12.54909,75.16524,1,
230,KARADKA,12.47707,75.21016,1,
231,KARADKA,12.50788,75.09566,1,
232,KASARGOD,12.58811,75.07104,1,
233,KASARGOD,12.46629,75.00668,1,
234,KASARGOD,12.51094,75.05146,1,
235,KASARGOD,12.59106,74.94740,1,
236,KASARGOD,12.54170,75.00080,1,
237,KASARGOD,12.52289,74.97234,1,
238,MANJESHWAR,12.64640,75.10640,1,
239,MANJESHWAR,12.67046,74.91148,1,
240,MANJESHWAR,12.73205,74.88395,1,
241,MANJESHWAR,12.71310,74.95249,1,
242,MANJESHWAR,12.68722,74.98742,1,
243,MANJESHWAR,12.61494,75.01024,1,
244,MANJESHWAR,12.75066,74.94859,1,
245,NILESHWAR,12.23910,75.23210,1,
246,NILESHWAR,12.17610,75.14750,1,
247,NILESHWAR,12.19700,75.16390,1,
248,NILESHWAR,12.13750,75.17750,3,
249,PARAPPA,12.38580,75.28040,1,
250,PARAPPA,12.32200,75.35790,1,
251,PARAPPA,12.42980,75.26690,1,
252,PARAPPA,12.28860,75.23460,1,
253,PARAPPA,12.39100,75.19350,1,
254,PARAPPA,12.45570,75.36080,1,
255,PARAPPA,12.32000,75.28630,1,
256,ANCHAL,8.88770,76.96018,1,
257,ANCHAL,8.93140,76.91400,1,
258,ANCHAL,8.92427,76.90034,1,
259,ANCHAL,8.98634,76.90977,1,
260,ANCHAL,8.90914,77.05460,1,
261,ANCHAL,8.96778,77.07036,1,
262,ANCHAL,8.93715,76.94720,1,
263,CHADAYAMANGALAM,8.87382,76.87132,1,
264,CHADAYAMANGALAM,8.81500,76.96953,1,
265,CHADAYAMANGALAM,8.90271,76.82195,1,
266,CHADAYAMANGALAM,8.87052,76.92078,1,
267,CHADAYAMANGALAM,8.82643,76.91758,1,
268,CHADAYAMANGALAM,8.78774,76.94076,1,
269,CHADAYAMANGALAM,8.82326,76.88293,1,
270,CHADAYAMANGALAM,8.87451,76.78075,1,
271,CHAVARA,8.98085,76.53473,1,
272,CHAVARA,8.95764,76.53305,1,
273,CHAVARA,9.01165,76.53787,1,
274,CHAVARA,8.95434,76.56185,1,
275,CHAVARA,9.01216,76.57500,3,
276,CHITTUMALA,9.01730,76.65255,1,
277,CHITTUMALA,8.95807,76.67184,1,
278,CHITTUMALA,9.00424,76.62988,1,
279,CHITTUMALA,8.93613,76.61133,1,
280,CHITTUMALA,8.98155,76.67153,1,
281,CHITTUMALA,8.94775,76.63812,1,
282,CHITTUMALA,8.92616,76.59857,1,
283,CHITTUMALA,8.95522,76.60096,1,
284,ITHIKKARA,8.86324,76.70938,1,
285,ITHIKKARA,8.83356,76.74447,1,
286,ITHIKKARA,8.81634,76.69608,4,
287,KOTTARAKKARA,8.98056,76.71355,1,
288,KOTTARAKKARA,9.00420,76.78131,1,
289,KOTTARAKKARA,8.99611,76.75338,1,
290,KOTTARAKKARA,8.90952,76.76427,1,
291,KOTTARAKKARA,8.93873,76.77129,2,
292,MUKHATHALA,8.95446,76.66922,1,
293,MUKHATHALA,8.91590,76.63329,1,
294,MUKHATHALA,8.90714,76.69161,1,
295,MUKHATHALA,8.89706,76.66752,1,
296,OACHIRA,9.09355,76.50475,1,
297,OACHIRA,9.13204,76.51247,1,
298,OACHIRA,9.08820,76.56372,1,
299,OACHIRA,9.06797,76.55834,1,
300,PATHANAPURAM,9.08753,76.85554,1,
301,PATHANAPURAM,9.05686,76.91396,1,
302,PATHANAPURAM,9.02781,76.86259,5,
303,SASTHAMCOTTAH,9.06300,76.67410,1,
304,SASTHAMCOTTAH,9.04175,76.59039,1,
305,SASTHAMCOTTAH,9.08025,76.67252,1,
306,SASTHAMCOTTAH,9.04380,76.62425,1,
307,SASTHAMCOTTAH,9.10112,76.61725,1,
308,SASTHAMCOTTAH,9.07453,76.60619,2,
309,VETTIKKAVALA,9.05649,76.73355,1,
310,VETTIKKAVALA,9.01391,76.82562,1,
311,VETTIKKAVALA,9.02989,76.78612,1,
312,VETTIKKAVALA,9.05528,76.69531,1,
313,VETTIKKAVALA,8.93380,76.81520,1,
314,VETTIKKAVALA,8.98692,76.83562,1,
315,ERATTUPETTA,9.68607,76.78127,1,
316,ERATTUPETTA,9.67382,76.81278,1,
317,ERATTUPETTA,9.67415,76.79495,1,
318,ERATTUPETTA,9.69928,76.81770,1,
319,ERATTUPETTA,9.78197,76.76343,1,
320,ERATTUPETTA,9.66828,76.77950,1,
321,ERATTUPETTA,9.74510,76.78337,1,
322,ERATTUPETTA,9.70032,76.75830,2,
323,ETTUMANOOR,9.63052,76.50955,1,
324,ETTUMANOOR,9.66763,76.53280,1,
325,ETTUMANOOR,9.61972,76.51052,1,
326,ETTUMANOOR,9.67362,76.55717,1,
327,ETTUMANOOR,9.68020,76.50722,1,
